,Nome,Empreendedor,CPF_CNPJ,UF,Município,Latitude,Longitude,Posicionamento,Categoria de Risco - CRI,Dano Potencial Associado - DPA,Necessita de PAEBM,Inserido na PNSB,Nível de Emergência,Status da DCE Atual,Status da DCO Atual,Tipo de Barragem de Mineração,A Barragem de Mineração possui outra estrutura de mineração interna selante de reservatório,Quantidade Diques Internos,Quantidade Diques Selantes,Cluster,Altura Máxima do projeto da Back Up Dam (m),Vida útil prevista da Back Up Dam (Anos),Situação operacional da Back Up Dam,Teor (%) do minério principal inserido no rejeito
19,BARRAGEM 02,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,CAMPO NOVO DE RONDÔNIA,-11.16175,-62.41741666666666,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
20,BARRAGEM TABOQUINHA,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,CUJUBIM,-9.523333333333333,-62.90588888888889,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
21,Queimada ,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-9.42386111111111,-63.047888888888885,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.01
22,CA01,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-9.431805555555554,-63.055527777777776,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.01
23,CA02,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-9.43163888888889,-63.055527777777776,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,10.0
24,CA03,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-9.458055555555555,-63.051944444444445,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,5.0
25,CA04,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-9.437208333333334,-63.05777777777777,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.01
26,QUEIMADA02,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-9.464166666666666,-63.074444444444445,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
27,QUEIMADA03,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-9.461388888888887,-63.07555555555556,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Cava com Barramento Construído,Não,0.0,0.0,1,0.0,0.0,0,5.0
28,Taboquinha 01 - Crente,ESTANHO DE RONDONIA S/A,00684808000135,RO,ITAPUÃ DO OESTE,-9.198694444444445,-63.075138888888894,Sul do Equador,Média,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,10.0
29,Taboquinha 02 - Serra Azul,ESTANHO DE RONDONIA S/A,00684808000135,RO,ITAPUÃ DO OESTE,-9.20436111111111,-63.08455555555556,Sul do Equador,Baixa,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.0
30,Taboquinha 03,ESTANHO DE RONDONIA S/A,00684808000135,RO,ITAPUÃ DO OESTE,-9.205542777777778,-63.083620833333335,Sul do Equador,Média,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
31,Taboquinha 04,ESTANHO DE RONDONIA S/A,00684808000135,RO,ITAPUÃ DO OESTE,-9.210861111111111,-63.08638888888889,Sul do Equador,Média,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,5.0
32,BARRAGEM 339,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,MINISTRO ANDREAZZA,-11.158402777777779,-61.611675,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
33,BARRAGEM 341,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,MINISTRO ANDREAZZA,-11.161902777777778,-61.614111111111114,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
34,BARRAGEM URUPA 01,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,URUPÁ,-11.135416666666666,-62.437527777777774,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,2.0
35,42,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7235277777777778,-60.19672222222222,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.01
36,68-1,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7404166666666666,-60.20141666666667,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.11
37,69,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7431944444444444,-60.20141666666667,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.01
38,75-1,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7615555555555555,-60.20597222222222,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
39,30-1,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.707111111111111,-60.19252777777778,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.01
40,22,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7386388888888888,-60.16738888888889,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.01
41,158 (A-1),MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7380277777777777,-60.07891666666667,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Sim,0.0,2.0,0,0.0,0.0,0,0.11
42,161 (A-2),MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7322869444444444,-60.06899888888889,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
43,444 (A-3),MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7384238888888889,-60.075865,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.0
44,Pau D'Arco,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7565758333333333,-60.08802888888889,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
45,81-1,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7853611111111111,-60.19341111111111,Sul do Equador,Alta,Média,Não,Sim,Emergência Nivel 1,1º Campanha 2024 - Não Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.0
46,0-1,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.733361111111111,-60.13838888888889,Sul do Equador,Alta,Alta,Sim,Sim,Emergência Nivel 1,1º Campanha 2024 - Não Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Sim,0.0,1.0,0,0.0,0.0,0,0.11
47,189,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7895555555555556,-60.01302777777778,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.11
48,103 (Cruz),MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7857222222222222,-60.14191666666667,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.01
49,111 (Índio),MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-0.7896666666666666,-60.14427777777778,Sul do Equador,Média,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Sim,4.0,4.0,0,0.0,0.0,0,0.0
50,LAGOA FACEL 4 ,CADAM S.A.,04788980000190,PA,ALMEIRIM,-0.9145697222222222,-52.42868583333333,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,15.0
51,LAGOA FACEL 3,CADAM S.A.,04788980000190,PA,ALMEIRIM,-0.9111158333333333,-52.43246277777777,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,15.0
52,Barragem do Mirante I e II,CADAM S.A.,04788980000190,PA,ALMEIRIM,-0.8976111111111111,-52.441805555555554,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,15.0
53,Bacia 1 A,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.5734438888888889,-48.75288277777778,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,98.0
54,Bacia 1 B,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.5741666666666667,-48.7505,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,8.0
55,Bacia 2,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.5730555555555557,-48.75555555555555,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,8.0
56,Bacia 3,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.5706111111111112,-48.75702777777778,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,8.0
57,Bacia 5 A,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.5809027777777778,-48.74978388888889,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,98.0
58,Bacia 5 B,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.5813408333333334,-48.751307777777775,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,8.0
59,Bacia 5 C,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.584,-48.748916666666666,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,8.0
60,Bacia 6 A,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.5827777777777778,-48.747055555555555,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,98.0
61,Bacia de Segurança,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.5814269444444444,-48.745565,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,8.0
62,Bacia 6B,IMERYS RIO CAPIM CAULIM S.A.,16532798000152,PA,BARCARENA,-1.5802777777777777,-48.74761111111111,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,8.0
63,1 Mina,VALE S.A.,33592510000154,PA,CANAÃ DOS CARAJÁS,-6.39938888888889,-50.340138888888895,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
64,1 Usina,VALE S.A.,33592510000154,PA,CANAÃ DOS CARAJÁS,-6.454916666666667,-50.228750000000005,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
65,3 Mina,VALE S.A.,33592510000154,PA,CANAÃ DOS CARAJÁS,-6.394416666666667,-50.31980555555556,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
66,Sul Pilha,VALE S.A.,33592510000154,PA,CANAÃ DOS CARAJÁS,-6.4782222222222225,-50.321361111111116,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
67,CSO1,SALOBO METAIS S/A,33931478000194,PA,CANAÃ DOS CARAJÁS,-6.408027777777778,-50.04416666666666,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
68,BARRAGEM DO SOSSEGO,SALOBO METAIS S/A,33931478000194,PA,CANAÃ DOS CARAJÁS,-6.429108888888889,-50.07015388888889,Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Sim,0.0,6.0,0,0.0,0.0,0,0.0
69,PN - 1,SALOBO METAIS S/A,33931478000194,PA,CANAÃ DOS CARAJÁS,-6.405722222222223,-50.057111111111105,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
70,PN - 3,SALOBO METAIS S/A,33931478000194,PA,CANAÃ DOS CARAJÁS,-6.402594722222222,-50.075408888888894,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
71,PN - 4,SALOBO METAIS S/A,33931478000194,PA,CANAÃ DOS CARAJÁS,-6.411516944444445,-50.033252777777776,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.06
72,PN - 6,SALOBO METAIS S/A,33931478000194,PA,CANAÃ DOS CARAJÁS,-6.405993888888889,-50.084200833333334,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
73,PN -5,SALOBO METAIS S/A,33931478000194,PA,CANAÃ DOS CARAJÁS,-6.421384722222222,-50.03609083333333,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
74,PS -1,SALOBO METAIS S/A,33931478000194,PA,CANAÃ DOS CARAJÁS,-6.433861111111112,-50.048361111111106,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
75,Barragem de Rejeitos,Serra Pelada Companhia de Desenvolvimento Mineral,04828209000107,PA,CURIONÓPOLIS,-5.933916666666667,-49.673138888888886,Sul do Equador,Não se aplica,Não se aplica,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.08
76,Dique de Finos I,AVB MINERACAO LTDA.,07605563000152,PA,CURIONÓPOLIS,-6.2479941666666665,-49.74656638888889,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
77,Dique de Finos II,AVB MINERACAO LTDA.,07605563000152,PA,CURIONÓPOLIS,-6.244965277777778,-49.74466388888889,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.1
78,Barragem I,CELESTA MINERACAO S.A,17755975000122,PA,CURIONÓPOLIS,-6.086646944444444,-49.65229083333333,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
79,Barragem II,CELESTA MINERACAO S.A,17755975000122,PA,CURIONÓPOLIS,-6.086658333333333,-49.652375,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.1
80,Barragem Antas Norte,AVB MINERACAO LTDA.,07605563000152,PA,CURIONÓPOLIS,-6.236122222222222,-49.76645277777778,Sul do Equador,Baixa,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,-,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.0
81,Maney Mineração,Valdinei Mauro de Souza,***568360***,PA,ITAITUBA,-6.788890555555556,-56.608110833333335,Sul do Equador,Média,Baixa,Não,Sim,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.05
82,Barragem B4,M. M. GOLD MINERACAO LTDA,28277368000110,PA,ITAITUBA,-6.363833333333333,-56.26923611111111,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,2.0
83,Lagoa São Chico,SERABI MINERACAO S.A.,04207303000130,PA,ITAITUBA,-6.4155500000000005,-55.97078888888889,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
